Date;Ticker;Price;SMA_20;RSI_14;Signal
2024-09-23;AAPL;225,42;;;NEUTRO
2024-09-24;AAPL;226,32;;;NEUTRO
2024-09-25;AAPL;225,32;;;NEUTRO
2024-09-26;AAPL;226,47;;;NEUTRO
2024-09-27;AAPL;226,73;;;NEUTRO
2024-09-30;AAPL;231,92;;;NEUTRO
2024-10-01;AAPL;225,16;;;NEUTRO
2024-10-02;AAPL;225,73;;;NEUTRO
2024-10-03;AAPL;224,62;;;NEUTRO
2024-10-04;AAPL;225,75;;;NEUTRO
2024-10-07;AAPL;220,66;;;NEUTRO
2024-10-08;AAPL;224,72;;;NEUTRO
2024-10-09;AAPL;228,48;;;NEUTRO
2024-10-10;AAPL;227,98;;;NEUTRO
2024-10-11;AAPL;226,5;;51,64;NEUTRO
2024-10-14;AAPL;230,23;;55,46;NEUTRO
2024-10-15;AAPL;232,77;;59,98;NEUTRO
2024-10-16;AAPL;230,71;;55,54;NEUTRO
2024-10-17;AAPL;231,07;;55,66;NEUTRO
2024-10-18;AAPL;233,91;227,52;52,76;NEUTRO
2024-10-21;AAPL;235,38;228,02;66,64;NEUTRO
2024-10-22;AAPL;234,77;228,44;64,7;NEUTRO
2024-10-23;AAPL;229,69;228,66;57,3;NEUTRO
2024-10-24;AAPL;229,5;228,81;55,55;NEUTRO
2024-10-25;AAPL;230,34;228,99;66,4;NEUTRO
2024-10-28;AAPL;232,32;229,01;63,85;NEUTRO
2024-10-29;AAPL;232,59;229,39;58,58;NEUTRO
2024-10-30;AAPL;229,03;229,55;51,94;NEUTRO
2024-10-31;AAPL;224,86;229,56;47,24;NEUTRO
2024-11-01;AAPL;221,88;229,37;35,58;NEUTRO
2024-11-04;AAPL;220,98;229,39;28,41;COMPRA
2024-11-05;AAPL;222,41;229,27;34,45;NEUTRO
2024-11-06;AAPL;221,69;228,93;32,66;NEUTRO
2024-11-07;AAPL;226,43;228,85;37,08;NEUTRO
2024-11-08;AAPL;226,16;228,84;33,38;NEUTRO
2024-11-11;AAPL;223,44;228,5;31,02;NEUTRO
2024-11-12;AAPL;223,44;228,03;37,38;NEUTRO
2024-11-13;AAPL;224,32;227,71;39,83;NEUTRO
2024-11-14;AAPL;227,41;227,53;44,71;NEUTRO
2024-11-15;AAPL;224,2;227,04;35,97;NEUTRO
2024-11-18;AAPL;227,21;226,63;41,51;NEUTRO
2024-11-19;AAPL;227,47;226,27;47,25;NEUTRO
2024-11-20;AAPL;228,19;226,19;56,68;NEUTRO
